Rk,Player,Type,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,RefName
2,Joel Embiid,Projected,10.1,20.3,1.4,3.9,9.9,12,2.4,12.3,4.1,1.2,1.5,3.4,2.9,31.6,0.5,0.368,0.824,embiijo01
1,Giannis Antetokounmpo,Projected,11.1,20.1,1.2,4.1,8.1,11.5,2.1,12.5,6.3,1.2,1.4,3.6,3.3,31.6,0.555,0.301,0.706,antetgi01
3,Luka Dončić,Projected,10.2,21.4,3.1,8.7,5.8,7.7,1,9.2,8.9,1.1,0.6,4.3,2.3,29.2,0.474,0.358,0.75,doncilu01
4,Trae Young,Projected,9.3,20.1,3,7.9,7.2,8,0.7,4.1,9.9,1,0.2,4.1,1.8,28.7,0.461,0.378,0.896,youngtr01
5,Stephen Curry,Projected,9.2,20.5,4.7,12.3,4.8,5.3,0.6,5.6,6.2,1.3,0.3,3.4,2.1,27.9,0.447,0.387,0.915,curryst01
6,Kevin Durant,Projected,9.8,19,2.1,5.4,6.2,6.9,0.5,7.1,5.9,0.8,1,3.4,2.1,27.9,0.514,0.391,0.898,duranke01
7,Nikola Jokić,Projected,10.6,18.5,1.4,4,5.1,6.2,2.9,13.2,8.3,1.5,0.8,3.7,2.8,27.7,0.572,0.35,0.827,jokicni01
8,Devin Booker,Projected,9.9,20.7,2.5,6.7,5.1,5.9,0.7,5,5.1,1,0.4,2.8,2.8,27.4,0.477,0.373,0.874,bookede01
10,Donovan Mitchell,Projected,9.6,21.4,3.5,9.6,4.5,5.3,0.9,4.7,5.5,1.4,0.2,3,2.5,27.2,0.45,0.367,0.852,mitchdo01
9,LeBron James,Projected,10.3,20.3,2.6,7.3,4.2,5.7,1,7.8,6.8,1.2,0.8,3.6,2.1,27.2,0.506,0.35,0.727,jamesle01
11,Jayson Tatum,Projected,9.4,20.2,3,8.1,5,5.8,1.1,7.9,4.3,1.1,0.6,2.7,2.2,26.7,0.462,0.373,0.856,tatumja01
12,Bradley Beal,Projected,9.6,20.7,2,6,5.3,6.2,1.1,4.8,5.6,1,0.4,3.2,2.4,26.6,0.465,0.329,0.857,bealbr01
13,Kyrie Irving,Projected,9.7,20.1,3,7.4,3.8,4.2,0.8,4.7,5.7,1.4,0.6,2.4,2.7,26.2,0.483,0.406,0.91,irvinky01
14,Ja Morant,Projected,9.6,19.6,1.5,4.5,5.4,7.1,1.3,5.6,7.7,1.2,0.4,3.5,1.7,26.2,0.489,0.342,0.761,moranja01
15,Karl-Anthony Towns,Projected,9.2,17.7,2.3,5.8,5.5,6.6,2.8,10.6,4.2,1,1.2,3.2,3.8,26.2,0.517,0.404,0.83,townska01
16,Damian Lillard,Projected,8.3,19.1,3.6,9.8,5.9,6.6,0.5,4.3,7.2,0.8,0.3,2.9,1.5,26,0.432,0.363,0.898,lillada01
17,Zach LaVine,Projected,9.1,18.7,3,7.6,4.7,5.6,0.5,5,4.7,0.8,0.4,2.9,2.1,25.9,0.484,0.398,0.846,lavinza01
18,DeMar DeRozan,Projected,9.3,18.6,0.6,1.7,6.5,7.5,0.7,5.1,5.5,0.9,0.3,2.3,2.4,25.6,0.498,0.328,0.871,derozde01
19,Jaylen Brown,Projected,9.2,19.2,2.7,7.3,3.7,4.9,1,6.5,3.6,1.2,0.4,2.8,2.8,24.9,0.481,0.374,0.76,brownja02
20,Shai Gilgeous-Alexander,Projected,8.6,18.1,1.7,5.2,5.7,7,0.7,5.4,5.8,1.2,0.8,2.7,2.4,24.6,0.473,0.336,0.813,gilgesh01
21,Paul George,Projected,8.6,19.7,3.2,8.3,4,4.7,0.7,7,5.4,1.7,0.5,3.7,2.6,24.4,0.438,0.379,0.858,georgpa01
22,Brandon Ingram,Projected,8.7,18.6,1.9,5.2,5,5.9,0.7,6,5.5,0.7,0.6,2.8,2.3,24.3,0.469,0.363,0.846,ingrabr01
23,De'Aaron Fox,Projected,9,18.7,1.5,4.7,4.8,6.4,0.6,4.1,6.3,1.3,0.5,2.9,3,24.2,0.48,0.313,0.741,foxde01
24,Kristaps Porziņģis,Projected,8.4,18.2,2.2,6.5,4.9,5.8,2.3,10,2.6,0.8,1.9,1.8,3.3,24,0.462,0.338,0.855,porzikr01
25,Anthony Davis,Projected,9.2,17.9,0.7,2.6,4.9,6.5,2.4,9.5,3.3,1.3,2.1,2.2,2.4,23.9,0.513,0.258,0.746,davisan02
26,Klay Thompson,Projected,8.8,20.6,4,10.4,1.9,2.1,0.7,5,3.4,0.7,0.7,1.7,2.2,23.5,0.428,0.379,0.872,thompkl01
27,Collin Sexton,Projected,8.6,17.9,1.6,4.6,4.5,5.6,1.1,3.7,3.9,1.1,0.2,2.8,2.6,23.3,0.478,0.356,0.813,sextoco01
28,James Harden,Projected,6.7,15.8,2.5,7.4,6.9,7.9,0.9,7.3,9.4,1.3,0.6,4.1,2.4,22.9,0.425,0.338,0.868,hardeja01
29,CJ McCollum,Projected,8.8,19.3,3.1,8,2.1,2.9,0.8,4.5,5,1.1,0.4,1.9,2.1,22.8,0.456,0.387,0.724,mccolcj01
30,Anthony Edwards,Projected,8.1,18.1,3,8.3,3.3,4.2,1,5.3,3.9,1.5,0.7,2.6,2.2,22.5,0.448,0.362,0.792,edwaran01
31,LaMelo Ball,Projected,7.9,17.8,3.1,7.7,3.2,3.8,1.6,7.6,8.3,1.8,0.5,3.4,3.4,22.1,0.446,0.395,0.848,ballla01
32,Jimmy Butler,Projected,7.2,15.1,0.6,2.3,7.1,8.3,1.9,6.6,6.2,1.8,0.5,2.3,1.7,22.1,0.477,0.247,0.86,butleji01
33,Jordan Clarkson,Projected,8.1,19.1,3.4,10.2,2.5,3,1.1,4.8,3.3,1.1,0.3,2.2,2.4,22,0.423,0.33,0.842,clarkjo01
34,Khris Middleton,Projected,7.8,17.1,2.6,6.7,3.9,4.4,0.8,6.2,5.8,1.2,0.3,3,2.7,22,0.455,0.384,0.889,middlkh01
35,Jordan Poole,Projected,7.4,16.4,3.3,8.9,3.8,4.2,0.6,4.1,4.6,1,0.4,2.6,3.1,21.8,0.449,0.366,0.908,poolejo01
36,Dillon Brooks,Projected,8.2,19.2,2.2,6.4,3.1,3.8,1.1,4.1,3.1,1.4,0.4,2.1,4.2,21.7,0.427,0.337,0.827,brookdi01
37,Jaren Jackson Jr.,Projected,7.4,17.1,2.3,6.9,4.6,5.6,2,7.6,1.7,1.2,2.8,2.1,4.5,21.7,0.433,0.336,0.822,jacksja02
38,Pascal Siakam,Projected,8.1,17,1.2,3.7,4,5.2,1.7,7.8,4.7,1.2,0.6,2.5,3.1,21.6,0.479,0.333,0.773,siakapa01
39,D'Angelo Russell,Projected,7.4,17.5,3.2,9,3.5,4.3,0.5,3.9,7.6,1.2,0.4,3,2.2,21.5,0.423,0.356,0.812,russeda01
41,Tyler Herro,Projected,7.9,17.4,2.8,7,2.9,3.3,0.6,5.8,4.3,0.8,0.2,2.6,1.6,21.4,0.454,0.397,0.856,herroty01
40,Jerami Grant,Projected,7.2,16.5,2.2,6,5,5.9,0.8,4.8,2.7,0.9,1.1,2,2.6,21.4,0.433,0.358,0.833,grantje01
42,Boban Marjanović,Projected,8.6,16.3,0.8,2.5,3.4,4.7,3.5,11.8,2,0.5,0.8,2.6,4.5,21.4,0.529,0.305,0.718,marjabo01
43,Christian Wood,Projected,7.8,15.4,2.1,5.6,3.6,5.6,2,11.3,2.5,0.9,1.2,2.2,2.8,21.4,0.509,0.386,0.642,woodch01
44,Julius Randle,Projected,7.5,17.5,1.8,5.3,4.4,5.7,1.6,9.9,5.2,0.8,0.5,3.3,3,21.2,0.43,0.339,0.771,randlju01
45,Markus Howard,Projected,7.2,17.3,3.8,10.2,2.9,3.5,0.8,4.4,2.7,1.3,0.3,2,3.3,21.1,0.415,0.37,0.833,howarma02
46,Jonas Valančiūnas,Projected,8.3,15,0.8,2.3,3.5,4.4,3.9,13.9,2.8,0.7,1,2.6,3.8,20.9,0.554,0.359,0.801,valanjo01
48,Nikola Vučević,Projected,8.6,18.4,1.9,5.5,1.7,2.1,2.1,11.8,3.7,1,0.9,2,2.5,20.8,0.471,0.344,0.786,vucevni01
47,Montrezl Harrell,Projected,8.1,13.1,0.2,0.6,4.4,6.2,3.3,9.3,2.7,0.8,1,1.7,3,20.8,0.619,0.259,0.708,harremo01
50,Caris LeVert,Projected,7.9,17.8,1.8,5.5,3.1,4.1,0.9,4.7,5.2,1.2,0.5,2.3,2.6,20.7,0.442,0.327,0.767,leverca01
49,Darius Garland,Projected,7.7,16.6,2.4,6.2,2.8,3.2,0.6,3.3,7.8,1.3,0.1,3.4,1.9,20.7,0.465,0.392,0.881,garlada01
